,City,jpin,title,category_name,status,Exact title,ID,
44,Chennai,JPIN-1304477959,"Clear Anti-Dandruff Nourishing Shampoo, Dandruff Clean, 5.5ml Sachet",Personal Care,pending,"Clear Anti-Dandruff Nourishing Shampoo, Dandruff Clean 5.5 ml",45,Clear Anti Dandruff Nourishing Shampoo 5.5 ml
45,Chennai,JPIN-1304477564,"Colgate Active Salt Toothpaste, 100g Box",Personal Care,pending,Colgate Active Salt  Toothpaste 100 g,46,Colgate Active Salt Toothpaste 100 g
46,Chennai,JPIN-1304477567,"Colgate Active Salt Toothpaste, 200g Box",Personal Care,pending,Colgate Active Salt Toothpaste (200 + 100) g,47,Colgate Active Salt Toothpaste 200 g
193,Chennai,JPIN-1304477566,"Colgate Active Salt Toothpaste, 44g Box",Personal Care,pending,Colgate Active Salt Toothpaste 48 g,194,Colgate Active Salt Toothpaste 48 g
47,Chennai,JPIN-1304477448,"Colgate Strong Teeth Toothpaste, 100g Box",Personal Care,pending,Colgate Strong Teeth Dental Cream Toothpaste 100 g,48,Colgate Strong Teeth Dental Cream Toothpaste 100 g
48,Chennai,JPIN-1304477444,"Colgate Strong Teeth Toothpaste, 18g Box",Personal Care,pending,Colgate Strong Teeth Dental Cream Toothpaste 13 g,49,Colgate Strong Teeth Dental Cream Toothpaste 13 g
49,Chennai,JPIN-1304477450,"Colgate Strong Teeth Toothpaste, 200g Box",Personal Care,pending,Colgate Strong Teeth Dental Cream Toothpaste 200 g,50,Colgate Strong Teeth Dental Cream Toothpaste 200 g
196,Chennai,JPIN-1304477447,"Colgate Strong Teeth Toothpaste, 44g Box",Personal Care,pending,Colgate Strong Teeth Dental Cream Toothpaste  44 g,197,Colgate Strong Teeth Dental Cream Toothpaste  44 g
234,Chennai,JPIN-1304475601,"Colin Glass Cleaner, 250ml Bottle",Home Care,pending,Colin Glass & Household Cleaner Spray 250 ml,235,Colin Glass & Household Cleaner Spray 250 ml
50,Chennai,JPIN-1304474426,"Comfort After Wash Fabric Conditioner, Lily Fresh, 18ml Sachet",Home Care,pending,Comfort After Wash Lily Fresh Fabric Conditioner 20 ml,51,Comfort After Wash Lily Fresh Fabric Conditioner 20 ml
51,Chennai,JPIN-1304474424,"Comfort After Wash Fabric Conditioner, Morning Fresh, 220ml Bottle",Home Care,pending,Comfort After Wash Morning Fresh Fabric Conditioner 220 ml,52,Comfort After Wash Morning Fresh Fabric Conditioner 220 ml
52,Chennai,JPIN-1304474416,"Comfort After Wash Fabric Conditioner, Morning Fresh, 860ml Bottle",Home Care,pending,Comfort After Wash Morning Fresh Fabric Conditioner 860 ml,53,Comfort After Wash Morning Fresh Fabric Conditioner 860 ml
53,Chennai,JPIN-1304477585,"Dabur Almond Hair Oil, 100ml Glass Bottle",Personal Care,pending,Dabur Almond Damage Free Hair Oil 100 ml,54,Dabur Almond Damage Free Hair Oil 100 ml
54,Chennai,JPIN-1304475055,"Dabur Amla Hair Oil, 180ml Bottle",Personal Care,pending,Dabur Amla Hair Oil 180 ml,55,Dabur Amla Hair Oil 180 ml
55,Chennai,JPIN-1304475045,"Dabur Amla Hair Oil, 90ml Bottle",Personal Care,pending,Dabur Amla Hair Oil 90 ml,56,Dabur Amla Hair Oil 90 ml
56,Chennai,JPIN-1304477408,"Dabur Gulabari Premium Rose Water, 59ml Bottle",Personal Care,pending,Dabur Gulabari Premium Rose Water  59 ml,57,Dabur Gulabari Premium Rose Water 59 ml
